ID,Average User Rating,Price,Developer,Age Rating,Languages,Size,Genres,Genre_Action,Genre_Adventure,Genre_Board,Genre_Books,Genre_Business,Genre_Card,Genre_Casino,Genre_Casual,Genre_Education,Genre_Entertainment,Genre_Family,Genre_Finance,Genre_Food&Drink,Genre_Health&Fitness,Genre_Lifestyle,Genre_Magazines&Newspapers,Genre_Medical,Genre_Music,Genre_Navigation,Genre_News,Genre_Photo&Video,Genre_Productivity,Genre_Puzzle,Genre_Racing,Genre_Reference,Genre_RolePlaying,Genre_Shopping,Genre_Simulation,Genre_SocialNetworking,Genre_Sports,Genre_Stickers,Genre_Strategy,Genre_Travel,Genre_Trivia,Genre_Utilities,Genre_Word,Age_12+,Age_17+,Age_4+,Age_9+
292274288,3.5,0.0,Quicksand Interactive,4+,EN,6.550985,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
292421271,4.0,2.99,"Subatomic Studios, LLC",9+,EN,75.041792,Entertainment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
292538570,3.5,0.0,Sillysoft Games,9+,EN,55.071744,Entertainment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
292975610,2.5,0.99,Solid Apps GmbH,4+,"EN, FR, DE, EL, PT, RU, ZH, ES",4.35712,Board,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
294166538,2.5,2.99,Pramod Shankar,4+,EN,44.329984,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
294193726,4.0,2.99,Mighty Mighty Good Games,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",9.54368,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
294596096,3.5,0.0,Greggy Bits Software,4+,EN,1.298432,Card,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
294631172,4.0,5.99,Lang Software Limited,4+,"EN, FR, DE, IT, ES",1.75104,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
295445501,4.0,7.99,Tom Kerrigan,4+,"EN, FR, DE, JA, KO, ZH",7.517184,Board,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
295462558,3.5,0.99,Jason Haslup,4+,EN,9.641984,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
296183853,3.5,2.99,Mighty Mighty Good Games,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15.837184,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
296756437,3.5,0.99,Tom Kerrigan,4+,"EN, FR, DE, JA, KO, ZH",5.874688,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
296853351,2.5,0.0,EUROCENTER,4+,EN,9.402423,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
297558390,3.5,0.0,TapJoy,9+,EN,7.774384,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
297643414,3.0,0.99,Easy 8 Software,4+,EN,12.423168,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
298748403,3.5,0.0,"Spiffcode, Inc.",9+,EN,7.7056,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
